,Neighborhood,Neighborhood Name,Zip Code,N,V,X,crimes,Population,White,Black,Hispanic/Latino2,AIAN1,Asian,Mixed Race,Corridor
1,40,Kings Oak,63110,27.555555555555557,33.77777777777778,20.0,61.333333333333336,180,55.0,38.9,3.9,0.0,2.2,3.9,Central
2,26,Compton Heights,63104,21.555555555555557,70.66666666666667,21.77777777777778,92.22222222222223,1315,71.0,21.3,2.0,0.2,3.9,3.3,South
4,49,Visitation Park,63112,18.88888888888889,80.66666666666667,19.333333333333332,99.55555555555556,960,5.8,90.4,0.3,0.1,0.4,2.6,North
5,44,Hi-Pointe,63139,22.444444444444443,80.44444444444444,50.22222222222222,102.88888888888889,2196,85.0,6.9,4.0,0.2,4.7,1.9,Central
6,28,Botanical Heights,63110,22.88888888888889,88.66666666666667,29.333333333333332,111.55555555555556,1037,20.3,74.4,2.1,0.2,1.7,2.6,Central
7,41,Cheltenham,63110,29.11111111111111,98.44444444444444,46.888888888888886,127.55555555555556,620,67.3,15.0,3.7,0.2,10.6,5.6,Central
8,43,Franz Park,63139,20.0,109.77777777777777,37.77777777777778,129.77777777777777,2442,86.2,7.9,4.3,0.5,2.1,2.5,Central
9,11,Clifton Heights,63139,38.44444444444444,104.22222222222223,54.0,142.66666666666669,3074,90.1,3.9,3.0,0.5,1.9,2.4,South
10,20,Kosciusko,63104,53.333333333333336,109.33333333333333,52.888888888888886,162.66666666666666,14,42.9,42.9,0.0,0.0,0.0,14.3,South
11,10,Ellendale,63139,29.555555555555557,138.66666666666666,57.55555555555556,168.22222222222223,1575,80.6,11.9,7.3,0.4,0.8,3.5,South
12,32,Lafayette Square,63104,26.666666666666668,143.55555555555554,40.888888888888886,170.2222222222222,2078,80.5,13.5,3.0,0.0,2.6,2.6,Central
13,29,Tiffany,63110,28.666666666666668,142.44444444444446,31.77777777777778,171.11111111111111,1060,10.8,84.1,1.4,0.4,2.3,2.0,Central
14,42,Clayton/Tamm,63139,46.44444444444444,128.88888888888889,35.55555555555556,175.33333333333331,2251,89.0,6.0,2.6,0.2,2.0,2.1,Central
15,54,Lewis Place,63113,45.333333333333336,138.22222222222223,42.0,183.55555555555557,1673,5.4,94.2,0.9,0.4,0.2,1.2,North
16,3,Holly Hills,63116,37.77777777777778,166.88888888888889,40.0,204.66666666666666,3701,81.2,11.5,5.4,0.1,2.0,2.7,South
17,34,LaSalle Park,63104,55.77777777777778,155.11111111111111,67.55555555555556,210.88888888888889,1299,28.3,67.6,1.8,0.2,0.7,3.1,Central
18,23,McKinley Heights,63104,45.55555555555556,168.66666666666666,54.22222222222222,214.22222222222223,1497,48.3,46.0,2.7,0.2,0.7,4.1,South
19,79,North Riverfront,63147,56.0,163.33333333333334,71.77777777777777,219.33333333333334,937,14.2,71.9,14.1,0.0,0.0,0.1,North
20,58,Vandeventer,63113,53.77777777777778,198.88888888888889,53.333333333333336,252.66666666666666,1682,1.2,95.7,1.2,0.2,0.0,2.3,North
21,12,The Hill,63110,59.111111111111114,194.44444444444446,73.77777777777777,253.55555555555557,2443,93.7,3.4,1.3,0.2,0.8,1.4,South
22,66,College Hill,63107,85.77777777777777,171.55555555555554,77.77777777777777,257.3333333333333,1871,3.7,92.7,1.2,0.5,0.6,2.3,North
23,70,Mark Twain/I-70 Industrial,63120,72.0,192.66666666666666,116.0,264.66666666666663,1295,2.4,95.8,1.9,0.0,0.0,0.5,North
24,57,The Ville,63115,64.0,210.22222222222223,45.111111111111114,274.22222222222223,1868,1.2,97.3,0.8,0.2,0.0,1.3,North
25,63,Old North St. Louis,63106,80.66666666666667,202.66666666666666,66.66666666666667,283.3333333333333,1916,18.5,78.0,2.9,0.8,0.4,1.8,North
26,53,Fountain Park,63113,72.0,215.55555555555554,85.77777777777777,287.55555555555554,1484,1.1,97.4,0.5,0.0,0.0,1.2,North
27,6,Princeton Heights,63109,56.666666666666664,232.44444444444446,93.11111111111111,289.11111111111114,7619,91.8,4.5,3.4,0.2,1.1,1.8,South
28,47,DeBaliviere Place,63112,54.0,240.44444444444446,38.0,294.44444444444446,3466,59.0,29.4,3.0,0.2,7.8,2.5,Central
29,24,Fox Park,63104,78.22222222222223,225.11111111111111,73.33333333333333,303.33333333333337,2632,32.3,61.2,4.7,0.4,1.2,2.5,South
30,8,St. Louis Hills,63109,54.22222222222222,251.77777777777777,113.55555555555556,306.0,7373,94.4,2.4,2.2,0.2,1.2,1.2,South
31,64,Near North Riverfront,63147,86.0,228.0,87.77777777777777,314.0,553,43.2,55.0,0.2,0.5,0.7,0.4,North
32,67,Fairground,63107,84.0,237.11111111111111,79.55555555555556,321.1111111111111,1793,1.7,97.1,0.5,0.1,0.0,1.0,North
33,13,Southwest Garden,63139,76.44444444444444,248.44444444444446,112.66666666666667,324.8888888888889,4885,76.9,16.5,3.4,0.3,3.0,2.4,South
34,60,St. Louis Place,63106,72.66666666666667,253.33333333333334,70.0,326.0,2939,7.1,91.7,0.6,0.2,0.3,1.9,North
35,31,Gate District,63104,79.33333333333333,260.6666666666667,99.77777777777777,340.0,3546,14.4,82.0,1.1,0.2,1.3,1.4,Central
36,46,Skinker/DeBaliviere,63112,55.333333333333336,286.22222222222223,58.44444444444444,341.55555555555554,4077,49.8,37.9,3.0,0.4,8.7,2.8,Central
37,4,Boulevard Heights,63116,70.88888888888889,278.8888888888889,113.77777777777777,349.7777777777778,8708,89.5,3.6,3.5,0.3,3.6,2.0,South
38,73,North Point,63147,78.44444444444444,279.3333333333333,90.22222222222223,357.77777777777777,3966,1.2,97.5,0.4,0.0,0.0,1.0,North
39,61,Carr Square,63106,101.55555555555556,261.3333333333333,94.66666666666667,362.88888888888886,2774,0.5,98.0,0.5,0.3,0.0,0.9,North
40,22,Benton Park,63118,72.0,297.1111111111111,76.44444444444444,369.1111111111111,3532,68.2,25.1,3.2,0.3,1.2,3.8,South
41,9,Lindenwood Park,63139,69.55555555555556,305.3333333333333,114.22222222222223,374.88888888888886,9486,91.2,4.3,3.1,0.2,1.3,2.2,South
42,7,Southampton,63109,66.0,310.6666666666667,95.33333333333333,376.6666666666667,6904,86.4,8.3,3.5,0.2,2.1,2.0,South
43,14,North Hampton,63139,82.22222222222223,298.6666666666667,103.11111111111111,380.8888888888889,7892,75.8,15.2,4.1,0.3,4.8,2.5,South
44,27,Shaw,63110,64.66666666666667,322.44444444444446,54.0,387.11111111111114,6811,51.7,41.9,2.3,0.2,1.8,3.6,South
45,33,Peabody/Darst/Webbe,63104,99.11111111111111,289.3333333333333,129.55555555555554,388.44444444444446,2378,10.3,87.5,0.5,0.1,0.3,1.5,Central
46,51,Academy,63113,97.77777777777777,312.22222222222223,107.33333333333333,410.0,2816,1.9,95.9,1.3,0.2,0.0,1.7,North
47,62,Columbus Square,63106,134.44444444444446,281.55555555555554,104.22222222222223,416.0,1869,4.1,92.9,0.9,0.2,0.6,1.9,North
